SMILES,Comp1,Act1,Assay1,Type1,Comp2,Act2,Assay2,Type2,log(ActRatio)
CC(C)(C)c1ccc(cc1)CNC(=O)Cc2ccc(cc2)NS(=O)(=O)C,CHEMBL185683,398,CHEMBL828080,ki,CHEMBL186726,6760,CHEMBL828080,ki,-1.230063624
CC(C)C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(CC(=O)NC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)Cc3ccc(cc3)O)NC(=O)[C@H](Cc4c[nH]c5c4cccc5)NC(=O)[C@H](Cc6ccc(cc6)F)NC(=O)[C@H](Cc7ccc8ccccc8c7)N)C(=O)N)CCCN=C(N)N,CHEMBL414500,10,CHEMBL680264,kd,CHEMBL406012,1.9,CHEMBL680264,kd,0.721246399
CC(C)C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(CNC(=O)C[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)Cc3ccc(cc3)O)NC(=O)[C@H](Cc4c[nH]c5c4cccc5)NC(=O)[C@H](Cc6ccc(cc6)F)NC(=O)[C@H](Cc7ccc8ccccc8c7)N)C(=O)N)CCCN=C(N)N,CHEMBL406012,1.9,CHEMBL680264,kd,CHEMBL414500,10,CHEMBL680264,kd,-0.721246399
CC(C)N(C(C)C)C(=O)C(c1cccnc1)C(CC(=O)NCCCc2ccccc2)c3ccccc3,CHEMBL439539,589,CHEMBL907690,ic50,CHEMBL217684,250,CHEMBL907690,ic50,0.3721752861
CC(C)N(C(C)C)C(=O)C(c1cccnc1)C(CC(=O)NCCc2ccccc2)c3ccccc3,CHEMBL384706,410,CHEMBL907690,ic50,CHEMBL217222,100,CHEMBL907690,ic50,0.6127838567
CC(C)N(C(C)C)C(=O)C(c1cccnc1)C(CNC(=O)CCCc2ccccc2)c3ccccc3,CHEMBL217684,250,CHEMBL907690,ic50,CHEMBL439539,589,CHEMBL907690,ic50,-0.372175286
CC(C)N(C(C)C)C(=O)C(c1cccnc1)C(CNC(=O)CCc2ccccc2)c3ccccc3,CHEMBL217222,100,CHEMBL907690,ic50,CHEMBL384706,410,CHEMBL907690,ic50,-0.612783857
CC1Cc2cccc(c2NC1)S(=O)(=O)NC(CCCN=C(N)N)C(=O)N3CCC(CC3)CCC(=O)NCCC(=O)O,CHEMBL344993,310,CHEMBL816565,ki,CHEMBL140686,650,CHEMBL816565,ki,-0.321551663
CC1Cc2cccc(c2NC1)S(=O)(=O)NC(CCCN=C(N)N)C(=O)N3CCC(CC3)CCNC(=O)CCC(=O)O,CHEMBL140686,650,CHEMBL816565,ki,CHEMBL344993,310,CHEMBL816565,ki,0.3215516628
CCC(=O)NCc1ccc(c(c1)CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(cc4)OCCOc5c(cc(cc5Cl)C)Cl)Cl,CHEMBL1269689,0.13,CHEMBL1275121,ic50,CHEMBL1269686,0.11,CHEMBL1275121,ic50,0.0725506671
CCC(=O)NCc1ccc(c(c1)CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(cc4)OCCOc5c(cc(cc5Cl)C)Cl)Cl,CHEMBL1269689,4.6,CHEMBL1275122,ic50,CHEMBL1269686,2.5,CHEMBL1275122,ic50,0.264817823
CCCC(=O)NCCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957658,1400,CHEMBL1961074,ic50,CHEMBL1957666,1700,CHEMBL1961074,ic50,-0.084320886
CCCC(=O)NCCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957658,600,CHEMBL1961066,ic50,CHEMBL1957666,510,CHEMBL1961066,ic50,0.0705810743
CCCC(=O)NCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957657,1600,CHEMBL1961074,ic50,CHEMBL1957665,1000,CHEMBL1961074,ic50,0.2041199827
CCCC(=O)NCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957657,420,CHEMBL1961066,ic50,CHEMBL1957665,380,CHEMBL1961066,ic50,0.0434656938
CCCCCCC(=O)NCCCC/C=C\CCCCCCC(=O)O,CHEMBL560420,79,CHEMBL1063935,ic50,CHEMBL561706,66,CHEMBL1063935,ic50,0.0780831557
CCCCCCCCC(=O)NCc1ccc(c(c1)OC)O,CHEMBL75124,1223,CHEMBL2061886,ki,CHEMBL76961,848,CHEMBL2061886,ki,0.1590306048
CCCCCCCCCC(=O)NCc1ccc(c(c1)OC)O,CHEMBL86708,864,CHEMBL2061886,ki,CHEMBL314262,240,CHEMBL2061886,ki,0.5563025008
CCCCCCCCCNC(=O)Cc1ccc(c(c1)OC)O,CHEMBL314262,240,CHEMBL2061886,ki,CHEMBL86708,864,CHEMBL2061886,ki,-0.556302501
CCCCCCCCNC(=O)Cc1ccc(c(c1)OC)O,CHEMBL76961,848,CHEMBL2061886,ki,CHEMBL75124,1223,CHEMBL2061886,ki,-0.159030605
CCCCCCNC(=O)CCCC/C=C\CCCCCCC(=O)O,CHEMBL561706,66,CHEMBL1063935,ic50,CHEMBL560420,79,CHEMBL1063935,ic50,-0.078083156
CCCCOC(=O)NS(=O)(=O)c1c(cc(s1)CC(C)C)c2ccc(cc2)CC(=O)NC,CHEMBL392514,80,CHEMBL922758,ki,CHEMBL397084,5.8,CHEMBL922758,ki,1.1396619934
CCCCOC(=O)NS(=O)(=O)c1c(cc(s1)CC(C)C)c2ccc(cc2)CNC(=O)C,CHEMBL397084,5.8,CHEMBL922758,ki,CHEMBL392514,80,CHEMBL922758,ki,-1.139661993
CCCN(CCCC(=O)NC)C1CCc2c(cccc2O)C1,CHEMBL170661,38,CHEMBL671710,ic50,CHEMBL171080,190,CHEMBL671710,ic50,-0.698970004
CCCN(CCCC(=O)NC)C1CCc2c(cccc2O)C1,CHEMBL170661,825,CHEMBL672928,ic50,CHEMBL171080,1800,CHEMBL672928,ic50,-0.338818557
CCCN(CCCNC(=O)C)C1CCc2c(cccc2O)C1,CHEMBL171080,1800,CHEMBL672928,ic50,CHEMBL170661,825,CHEMBL672928,ic50,0.3388185566
CCCN(CCCNC(=O)C)C1CCc2c(cccc2O)C1,CHEMBL171080,190,CHEMBL671710,ic50,CHEMBL170661,38,CHEMBL671710,ic50,0.6989700043
CCCNC(=O)CCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957666,1700,CHEMBL1961074,ic50,CHEMBL1957658,1400,CHEMBL1961074,ic50,0.0843208857
CCCNC(=O)CCCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957666,510,CHEMBL1961066,ic50,CHEMBL1957658,600,CHEMBL1961066,ic50,-0.070581074
CCCNC(=O)CCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957665,1000,CHEMBL1961074,ic50,CHEMBL1957657,1600,CHEMBL1961074,ic50,-0.204119983
CCCNC(=O)CCc1[nH]c(c(n1)c2nc(cs2)C)c3ccc4c(c3)OCO4,CHEMBL1957665,380,CHEMBL1961066,ic50,CHEMBL1957657,420,CHEMBL1961066,ic50,-0.043465694
CCNC(=O)Cc1ccc(c(c1)CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(cc4)OCCOc5c(cc(cc5Cl)C)Cl)Cl,CHEMBL1269686,0.11,CHEMBL1275121,ic50,CHEMBL1269689,0.13,CHEMBL1275121,ic50,-0.072550667
CCNC(=O)Cc1ccc(c(c1)CN(C2CC2)C(=O)[C@H]3CNCC[C@@H]3c4ccc(cc4)OCCOc5c(cc(cc5Cl)C)Cl)Cl,CHEMBL1269686,2.5,CHEMBL1275122,ic50,CHEMBL1269689,4.6,CHEMBL1275122,ic50,-0.264817823
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCC(=O)NC,CHEMBL240598,160,CHEMBL898579,ic50,CHEMBL398584,860,CHEMBL898579,ic50,-0.730378469
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCC(=O)NC,CHEMBL240598,160,CHEMBL898579,ic50,CHEMBL398584,860,CHEMBL898579,ic50,-0.730378469
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(=O)C(O3)(C)c4cc(cc(c4)F)F)CCC(=O)NC,CHEMBL240598,6,CHEMBL898576,ic50,CHEMBL398584,1,CHEMBL898576,ic50,0.7781512504
